RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
190220020022006,Tioga Elementary School,Bensenville,70.00,52.6,,,41.95008,-87.942669
070161590021001,Colin Powell Middle Sch,Matteson,70.10,43.7,,,41.5182,-87.7372
320463020160001,St Anne Comm High School,Saint Anne,70.10,,32.2,18.4,41.021017,-87.72167
510841860250004,Springfield Learning Academy,Springfield,70.10,,6.5,14.3,39.78292713,-89.654456107
540921180242005,Edison Elem School,Danville,70.20,39.5,,,40.159946,-87.630332
060161050022003,Ideal Elem School,Countryside,70.30,57.1,,,41.784969,-87.866046
130584010261001,South Central Middle School,Kinmundy,70.30,47,,,38.767794,-88.8488
190222000262018,Clifford Johnson School,Warrenville,70.30,54.5,,,41.832121,-88.211335
310450460222006,Lincoln Elementary School,Hoffman Estates,70.30,55.1,,,42.055728,-88.242609
340491160262002,Indian Hill Elem School,Round Lake Height,70.40,33.4,,,42.3844345,-88.102038024
130587220260001,Odin Attendance Center 9-12,Odin,70.50,,47.6,18.4,38.614871951,-89.055533658
150162990252940,Pershing West Magnet Elem School,Chicago,70.50,54.2,,,41.835929,-87.618651
190220020022005,Mohawk Elem School,Bensenville,70.50,55.2,,,41.949335832,-87.95649039
010011720222006,Dewey Elementary School,Quincy,70.60,59.2,,,39.944127,-91.383626
130587220262001,Odin Attendance Center K-8,Odin,70.60,41.4,,,38.614871951,-89.055533658
210281880262003,Zeigler-Royalton Elem School,Zeigler,70.60,39.8,,,37.933076,-89.059646
34049187026202C,LEARN Chtr Sch 6 N Chicago Campus,Great Lakes,70.60,59,,,42.306469595,-87.844052609
070161670022001,Brookwood Middle School,Glenwood,70.70,50.5,,,41.542555,-87.606063
110150020262015,Arland D Williams Jr Elem Sch,Mattoon,70.70,60.1,,,39.465507,-88.364331
050160620042011,South Elem School,Des Plaines,70.90,69.4,,,42.02048,-87.885864
390550610252031,Michael E Baum Elem School,Decatur,70.90,47.2,,,39.833103,-88.892768
500821180022001,Abraham Lincoln Elem School,Belleville,70.90,56.1,,,38.546092,-90.00877
070161275022004,Ridge Lawn Elementary School,Chicago Ridge,71.00,37,,,41.70147,-87.763968
130950110042001,Irvington Elem School,Irvington,71.00,42,,,38.437095,-89.158439
280372290261001,Central Junior High,Kewanee,71.00,48.6,,,41.242324,-89.922225
310450460222031,Ridge Circle Elem School,Streamwood,71.00,47,,,42.023649,-88.160332
500821180022010,Union Elem School,Belleville,71.00,67.7,,,38.524644,-90.015884
310450460221008,Tefft Middle School,Streamwood,71.10,65.2,,,42.009588,-88.163396
070161580021004,Memorial Jr High School,Lansing,71.20,47,,,41.564697,-87.550313
100110030262003,North Elem School,Taylorville,71.20,61.8,,,39.556124,-89.290472
300730050022001,Tamaroa Elem School,Tamaroa,71.20,39.9,,,38.137845,-89.230279
070161620021004,O W Huth Middle School,Matteson,71.40,45.7,,,41.5029,-87.7061
070161680041003,Rickover Jr High School,Sauk Village,71.40,23.7,,,41.487217,-87.557956
150162990250025,Kenwood Academy High School,Chicago,71.40,95.9,45.1,19.3,41.803938,-87.590493
340491160260006,Round Lake Senior High School,Round Lake,71.40,,32.6,18.1,42.362446,-88.091713
060160810022003,Washington Elem School,Schiller Park,71.50,59.7,,,41.966935,-87.868507
490810410251003,Edison Jr High School,Rock Island,71.50,31.5,,,41.47031,-90.586198
500821870261015,8th Grade Academy,Cahokia,71.50,31.7,,,38.561600032,-90.131140952
560990860052005,Forest Park Individual Ed School,Joliet,71.50,56.2,,,41.547828,-88.055729
130581350021001,Centralia Jr High School,Centralia,71.60,41.3,,,38.517728,-89.130258
410570090261003,Coolidge Middle School,Granite City,71.60,44.8,,,38.721019,-90.122781
070161220022002,Ernest F Kolb Elem School,Oak Lawn,71.70,62.9,,,41.717227,-87.787168
530900760021005,Parkview Jr High School,Creve Coeur,71.70,45.7,,,40.640913,-89.581175
020771000262004,Century Elementary School,Ullin,71.80,47.3,,,37.270251,-89.098027
510841860252013,Black Hawk Elem School,Springfield,71.80,46.7,,,39.773041,-89.656853
540920040262003,Ridge Farm Elementary School,Ridge Farm,71.80,39.1,,,39.892933,-87.652466
150162990252268,Hitch Elem School,Chicago,71.90,61.9,,,41.98335,-87.779187
010011720222004,Adams Elementary School,Quincy,72.00,50.6,,,39.920879,-91.384177
060160870022008,Sunnyside Elementary School,Berkeley,72.00,51.8,,,41.889354,-87.903934
490810400222023,Willard Elem School,Moline,72.00,51.9,,,41.496336,-90.513029
530900760022004,LaSalle Elem School,Creve Coeur,72.00,51.4,,,40.648842,-89.598183
070162270170002,Rich Central Campus High School,Olympia Fields,72.10,,29.1,17.4,41.520675,-87.703906
150162990252292,Jungman Elem School,Chicago,72.10,40.3,,,41.858538,-87.652252
270942380262001,Harding Primary School,Monmouth,72.10,52,,,40.901595,-90.644709
320460010261002,Momence Jr High School,Momence,72.10,47.7,,,41.164183,-87.673495
150162990250039,King College Prep High School,Chicago,72.20,,71.8,21,41.812778,-87.603928
070162050170003,Thornwood High School,South Holland,72.30,,27.2,16.8,41.584608,-87.607281
070162180160001,DD Eisenhower High Sch (Campus),Blue Island,72.30,,26.4,17.5,41.662449,-87.694921
150162990252920,Chicago Academy Elem School,Chicago,72.30,64.7,,,41.942132,-87.776365
070161590022005,Woodgate Elem School,Matteson,72.40,61.8,,,41.525163,-87.751566
460090150260007,Beardstown Jr/Sr High School,Beardstown,72.40,37.7,30.7,16.6,40.009585,-90.420004
560990840022001,Rockdale Elem School,Rockdale,72.40,50.6,,,41.507173,-88.117973
150162990250031,Morgan Park High School,Chicago,72.50,95.8,41.5,18.2,41.692853,-87.667902
150162990252222,Gompers  Fine Arts Options ES,Chicago,72.50,41.8,,,41.670646,-87.622477
560990880021002,Monge Jr High School,Crest Hill,72.50,29.9,,,41.560386,-88.093484
560990880022002,Chaney Elementary School,Crest Hill,72.50,36.4,,,41.560386,-88.093484
150162990252743,Earhart Opt for Knowledge ES,Chicago,72.60,63.5,,,41.726045,-87.582118
310450460220002,Larkin High School,Elgin,72.60,,41.4,18.1,42.032035,-88.313584
460090150262002,Brick Elementary School,Beardstown,72.60,37,,,40.018823,-90.335298
56099365U262012,Oak View Elem School,Bolingbrook,72.60,57,,,41.699862,-88.086451
340491120022007,Oak Terrace Elem School,Highwood,72.70,55.7,,,42.199799,-87.814505
100110030262001,Memorial Elem School,Taylorville,72.80,52,,,39.546439,-89.294804
150162990252402,Pershing Humanities Magnet Elem,Chicago,72.80,59,,,41.838105,-87.613429
070161430022005,Spaulding School,Midlothian,72.90,53.3,,,41.623759,-87.701382
150162990252921,Courtenay Language Arts Ctr ES,Chicago,72.90,68.1,,,41.958165,-87.671756
56099365U262009,Independence Elem School,Bolingbrook,72.90,48,,,41.691868,-88.098589
070161470022004,Lincoln Elem School,Dixmoor,73.00,38.5,,,41.633433,-87.662125
150162990252399,Peirce Intl Studies Elem School,Chicago,73.00,60.5,,,41.983457,-87.665706
041012050252059,A C Thompson Elem School,Rockford,73.10,53.6,,,42.249215,-89.015184
050160590042018,Rupley Elem School,Elk Grove Village,73.10,52.7,,,42.022074,-87.986059
130584010262002,South Central Elementary-Kinmundy,Kinmundy,73.10,61,,,38.773481,-88.839746
320461110252013,Lincoln Cltrl Ctr-Montessori Elem,Kankakee,73.10,55.6,,,41.117301,-87.847678
560990860051003,Hufford Junior High School,Joliet,73.10,57,,,41.543124,-88.125564
