RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
040041000260003,Belvidere Endeavor High School,Belvidere,60.00,,13.5,15.6,42.247839771,-88.83177507
100110140242001,South Fork Elementary School,Kincaid,60.00,38.7,,,39.589455,-89.414042
130580010032001,Raccoon Cons Elem School,Centralia,60.00,55.4,,,38.519469,-88.97887
130950290032001,Hoyleton Cons Elem School,Hoyleton,60.00,45.6,,,38.448851,-89.274269
190220160022006,Pheasant Ridge Primary School,Glendale Heights,60.00,55.1,,,41.923520795,-88.08876032
500821180022004,Douglas Elem School,Belleville,60.00,54,,,38.515381,-89.965657
030262010262001,Brownstown Elem School,Brownstown,60.10,54.4,,,38.993111,-88.959818
110230010262002,Shiloh Elementary School,Hume,60.10,52.4,,,39.790872,-87.860114
410570100261003,Collinsville Middle School,Collinsville,60.10,51.5,,,38.661309,-90.018506
540920020262001,Judith Giacoma Elem School,Westville,60.10,45.5,,,40.040632,-87.635184
020910170221001,Cobden Jr High School,Cobden,60.20,51.6,,,37.536144,-89.255402
300391860262009,Carruthers Elementary School,Murphysboro,60.20,53.6,,,37.778261,-89.340122
050160650041002,Chute Middle School,Evanston,60.30,62.5,,,42.026706,-87.691967
100680120262006,Russell Elem School,Litchfield,60.30,44.6,,,39.179525,-89.657743
220290030261001,Cuba Middle School,Cuba,60.30,39.1,,,40.48783,-90.190255
350502890042002,Lincoln Elem School,Mendota,60.30,48.7,,,41.548877,-89.113071
410570110261006,Alton Middle School,Alton,60.30,41.1,,,38.904553,-90.15446
130581110022005,Franklin Park Middle School,Salem,60.40,56.6,,,38.641575,-88.951415
250410050042001,Belle Rive Attendance Center,Belle Rive,60.40,44,,,38.230009,-88.743171
410570110262010,Gilson Brown Elem School,Godfrey,60.40,45.7,,,38.930535,-90.218591
460860020262001,Bluffs Elementary School,Bluffs,60.40,50.4,,,39.753671,-90.535215
480720630021001,Norwood Elem School,Peoria,60.40,66.6,,,40.700355,-89.697443
080891450222015,Carl Sandburg Middle Sch,Freeport,60.50,51.5,,,42.28986,-89.651524
150162990252461,Solomon Elem School,Chicago,60.50,79,,,41.993762,-87.723908
550980050262010,Washington Elem School,Sterling,60.50,57.9,,,41.801506,-89.707391
150162990252198,Farnsworth Elem School,Chicago,60.60,65.3,,,41.979558,-87.765911
160194280262005,Jefferson Elem School,DeKalb,60.60,55,,,41.9484,-88.7504
56099365U262016,Skoff Elementary,Romeoville,60.60,58.3,,,41.654095,-88.097573
070161710021001,Heritage Middle School,Lansing,60.70,43.9,,,41.54552,-87.539256
030262040262001,Ramsey Elem School,Ramsey,60.80,50.9,,,39.141200726,-89.112141665
130585010260001,Sandoval Sr High School,Sandoval,60.80,,43.5,17.1,38.616364,-89.131685
260343270042002,Dallas City Elem School,Dallas City,60.90,51.9,,,40.627517,-91.157884
500820400262002,Marissa Elem School,Marissa,60.90,46.1,,,38.248489,-89.75223
010750040261002,Griggsville-Perry Middle School,Perry,61.00,50.4,,,39.784404,-90.745056
030030020262004,Pocahontas Center,Pocahontas,61.00,70.4,,,38.828178,-89.540315
100110080262004,Jefferson Middle School,Pana,61.00,66.8,,,39.384382,-88.959613
170640050262017,Fox Creek Elementary School,Bloomington,61.00,51,,,40.438158,-89.052673
190220160022005,Glen Hill Primary,Glendale Heights,61.10,54.5,,,41.90772992,-88.081544846
200350010261001,Hardin County Jr High School,Elizabethtown,61.10,43.1,,,37.470337,-88.290463
041012050252085,Montessori Elementary School,Rockford,61.20,54.6,,,42.331271,-89.097124
320382800042001,Milford Grade School,Milford,61.20,61.7,,,40.626295868,-87.697917216
410570130021001,East Alton Middle School,East Alton,61.20,45,,,38.878963,-90.097079
470521700222004,Lincoln Elem School,Dixon,61.20,56,,,41.835826,-89.497089
480721500251013,Mark W Bills Middle School,Peoria,61.20,39.5,,,40.760826,-89.662198
480721500252051,Charter Oak Primary School,Peoria,61.20,91.5,,,40.756788,-89.675176
340491160262006,Village Elementary School,Round Lake,61.30,46.9,,,42.354361,-88.102981
490810410252017,Thomas Jefferson Elem School,Milan,61.30,49.1,,,41.438141,-90.571341
500821190022001,Belle Valley Elem School-North,Belleville,61.30,50.3,,,38.524895,-89.946087
56099365U261004,Brooks Middle School,Bolingbrook,61.30,51.5,,,41.699286,-88.081496
190220330022006,Currier Elementary School,West Chicago,61.40,29.8,,,41.858136,-88.193569
320380090261002,Glenn Raymond Middle School,Watseka,61.40,55.7,,,40.772978,-87.734542
320380100262002,Iroquois West Elem School/Gilman,Gilman,61.40,74.4,,,40.768483,-87.991432
410570100262023,Twin Echo Elem School,Collinsville,61.40,47.8,,,38.651349,-89.995919
210280990262001,Christopher Elem School,Christopher,61.50,42.2,,,37.968365,-89.058337
350500440022001,Centennial Elem School,Streator,61.50,52.4,,,41.150035,-88.843545
56099201U262008,Coretta Scott King Magnet Sch,University Park,61.50,66.2,,,41.434881,-87.67794
110150020262016,Riddle Elementary School,Mattoon,61.60,60.1,,,39.483522,-88.414158
340491870262002,Forrestal Elem School,Great Lakes,61.60,45.7,,,42.301551,-87.865311
050160590042002,Adm Richard E Byrd Elem School,Elk Grove Village,61.70,65.1,,,41.998339,-88.008452
200350010262001,Hardin County Elem School,Elizabethtown,61.70,50.9,,,37.470356,-88.290512
200830030262009,East Side Intermediate School,Harrisburg,61.80,50.4,,,37.73702,-88.537533
310453000260002,Dundee-Crown High School,Carpentersville,61.80,,43.5,18.8,42.131864,-88.266937
410570010261001,Roxana Junior High School,Roxana,61.80,53.2,,,38.850567,-90.075716
410570010262004,Central Elem School,Roxana,61.80,57.4,,,38.851902,-90.076639
480721500252047,Northmoor Primary School,Peoria,61.80,66.7,,,40.76176651,-89.621233069
490810340022003,George O Barr School,Silvis,61.90,45,,,41.505585,-90.4122
040041000262007,Perry Elem School,Belvidere,62.00,63.7,,,42.259609,-88.852609
050160260022001,Euclid Elem School,Mt Prospect,62.00,60.8,,,42.086295416,-87.927215591
410570090262012,Maryville Elem School,Granite City,62.00,64.1,,,38.739555,-90.10641
480721500251001,Rolling Acres Middle School,Peoria,62.00,51.1,,,40.755902274,-89.623572542
530901080021012,Broadmoor Junior High School,Pekin,62.00,57.3,,,40.572822,-89.613075
17053006J262006,Tri-Point Jr High/Elementary,Piper City,62.00,46.4,,,40.753315,-88.187988
050160630022009,Mark Twain Elem School,Niles,62.10,57.9,,,42.0519,-87.7222
070162170160001,Argo Community High School,Summit,62.10,,39.4,18.8,41.777177,-87.804004
220290660252009,Eastview Elementary School,Canton,62.10,60.2,,,40.564387,-90.011709
040041000262008,Washington Academy,Belvidere,62.20,38.5,,,42.249778344,-88.854060754
090100040262020,Washington Elem School,Champaign,62.20,54.8,,,40.123755,-88.230037
090101160222008,Thomas Paine Elem School,Urbana,62.20,45.2,,,40.098876,-88.185599
120130350262002,Mcendree Elem School,Flora,62.20,62.2,,,38.671756,-88.478747
300391760262008,Trico Elementary School,Campbell Hill,62.20,42.9,,,37.947606,-89.563932
100680120262003,J D Colt Elem School,Litchfield,62.30,52,,,39.169568,-89.649516
560990810022001,Union Elementary School,Joliet,62.30,45.3,,,41.493979,-88.022937
020610380260001,Joppa Jr & Sr High School,Joppa,62.40,77.3,33.3,19.2,37.21278,-88.845329
210280470042001,Benton Grade Sch K-4,Benton,62.40,60.5,,,37.9892,-88.907519
410570130022002,Eastwood Elem School,East Alton,62.40,38.3,,,38.878976,-90.096914
020440430032001,Buncombe Cons School,Buncombe,62.50,40.2,,,37.471614,-88.977279
050160150042007,Lake Louise Elem School,Palatine,62.50,54.3,,,42.119532,-88.007709
060161030022005,Lincoln Elem School,Brookfield,62.50,49.3,,,41.813818,-87.841457
200961120042001,Center Street Elem School,Fairfield,62.50,59.7,,,38.377517,-88.362044
410570150031001,Lewis-Clark Jr High School,Wood River,62.50,48.3,,,38.862438,-90.088396
120130100262001,Clay City Elem School,Clay City,62.60,48.7,,,38.688230384,-88.354150331
190222040262002,Longwood Elem School,Naperville,62.60,63.5,,,41.789508,-88.211532
350500440021005,Northlawn Jr High School,Streator,62.70,46.3,,,41.13546,-88.833955
350500440022007,Sherman Elem School,Streator,62.70,58.5,,,41.123104,-88.819209
090101160222005,Leal Elem School,Urbana,62.80,51.9,,,40.107638,-88.210487
120800010262008,East Richland Elementary School,Olney,62.80,62.7,,,38.60284,-88.056771
150162990252389,Owen Scholastic Academy Elem Schl,Chicago,62.80,76.3,,,41.743333,-87.705757
160194280262006,Lincoln Elementary School,DeKalb,62.90,56.1,,,41.918238,-88.755588
500821960262006,Bluffview  Elem School,Dupo,62.90,59.4,,,38.507848,-90.208968
060161030022004,Home Elem School,Stickney,63.00,56.4,,,41.812102,-87.797138
190220680022005,William F Murphy Elem School,Woodridge,63.00,69.1,,,41.747477,-88.042145
410570100262020,Summit Elementary School,Collinsville,63.00,78.1,,,38.674387,-89.996321
56099365U261007,John J Lukancic Middle Sch,Romeoville,63.00,50.8,,,41.654129,-88.096328
050160150042015,Virginia Lake Elem School,Palatine,63.10,55.7,,,42.126349,-88.023011
050160620041001,Algonquin Middle School,Des Plaines,63.10,52.9,,,42.030856,-87.904573
100110080262001,Lincoln Elem School,Pana,63.10,56.5,,,39.387965,-89.07414
190220020021001,Blackhawk Middle School,Bensenville,63.10,57.8,,,41.951569,-87.951542
320380090262003,Wanda Kendall Elem School,Watseka,63.10,62.1,,,40.770068,-87.724546
490810370022009,Wells Elem School,East Moline,63.10,25.2,,,41.488691,-90.452108
510841860252012,Butler Elem School,Springfield,63.10,44.6,,,39.782471,-89.668355
050160650042014,Oakton Elem School,Evanston,63.30,57.8,,,42.025973,-87.685422
070161240022002,Northeast Elem School,Evergreen Park,63.30,46.5,,,41.728673,-87.692204
070161430022002,Kolmar Elem School,Midlothian,63.30,42.4,,,41.632731,-87.730257
090100040261007,Franklin Middle School,Champaign,63.30,54.5,,,40.123332,-88.253193
330482050262015,Silas Willard Elem School,Galesburg,63.30,66.3,,,40.962135,-90.362889
320380090262007,Woodland Elem School,Woodland,63.40,59.3,,,40.716441,-87.727766
410570140160001,East Alton-Wood River High Sch,Wood River,63.40,,36.6,18.1,38.871854,-90.098154
020610010262003,Metropolis Elem School,Metropolis,63.50,68.4,,,37.152037,-88.721983
130581110022004,Hawthorn Elem School,Salem,63.70,73.4,,,38.638463,-88.958745
150162990252160,Disney Magnet Elem School,Chicago,63.70,75,,,41.956982,-87.646046
320460610022003,Bradley West Elem School,Bradley,63.70,52.8,,,41.143536,-87.878294
070161500022002,McKinley Elem School,South Holland,63.90,65.7,,,41.586331,-87.597174
310450460220003,Streamwood High School,Streamwood,63.90,,41.3,18.5,42.031439,-88.197791
070161100022002,Charles J Sahs Elem School,Chicago,64.00,54.9,,,41.801839,-87.757593
