RCDTS,District Name/ School Name,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
050160290022001,Middlefork Primary School,Northfield,0.00,93.6,,,42.101909,-87.78053
060161010022005,John Laidlaw Elem School,Western Springs,0.00,93.3,,,41.81507,-87.907212
050160380022001,The Joseph Sears School,Kenilworth,0.00,91.6,,,42.08961,-87.716911
060161010021006,McClure Jr High School,Western Springs,0.00,91.1,,,41.813253,-87.898756
060161010022001,Field Park Elem School,Western Springs,0.00,89,,,41.811405,-87.895036
050160360021005,Carleton W Washburne School,Winnetka,0.00,88.3,,,42.105194,-87.751433
060161010022002,Forest Hills Elem School,Western Springs,0.00,88.1,,,41.798134,-87.904679
050160360022001,Crow Island Elem School,Winnetka,0.00,87,,,42.101107,-87.746046
050160640042011,Theodore Roosevelt Elem School,Park Ridge,0.00,79.3,,,41.998743,-87.834335
100110040261001,Edinburg Jr High School,Edinburg,0.00,31.6,,,39.659621,-89.389652
050160360022004,The Skokie School,Winnetka,0.20,92.1,,,42.105724,-87.746057
340491090022008,South Park Elem School,Deerfield,0.20,91.7,,,42.160133,-87.862883
340490600262006,Andrew Cooke Magnet Elem School,Waukegan,0.20,64.4,,,42.35446,-87.836755
050160300022002,Willowbrook Elem School,Glenview,0.30,91,,,42.101225,-87.842016
310453040262007,Mill Creek School,Geneva,0.30,85,,,41.881185,-88.385125
310453040262008,Fabyan Elementary School,Geneva,0.30,82,,,41.859462,-88.375772
050160360022002,Greeley Elem School,Winnetka,0.40,94.8,,,42.098616,-87.721812
340491030021001,Daniel Wright Jr High School,Lincolnshire,0.40,92.2,,,42.213871,-87.905858
340491090022006,Walden Elem School,Deerfield,0.40,89.6,,,42.176518,-87.844147
340491090022007,Wilmot Elem School,Deerfield,0.40,84.6,,,42.167298,-87.867106
340490680022001,Oak Grove Elem School,Libertyville,0.50,85,,,42.302677,-87.913404
190220530021001,Butler Junior High School,Oak Brook,0.60,93.9,,,41.838372,-87.928779
050160640041006,Emerson Middle School,Niles,0.60,80.2,,,42.028562,-87.83576
190221810042004,Monroe Elem School,Hinsdale,0.70,87.7,,,41.799246,-87.937137
340490600262021,Whittier Elem School,Waukegan,0.70,31,,,42.372225,-87.855548
340491090022003,Kipling Elem School,Deerfield,0.80,81.7,,,42.166267,-87.839542
340490600262017,Oakdale Elem School,Waukegan,0.80,31.8,,,42.3943,-87.867646
050160390022003,Harper Elem School,Wilmette,1.00,92.2,,,42.082896,-87.735923
050160360022003,Hubbard Woods Elem School,Winnetka,1.00,86.8,,,42.114653,-87.746678
310453040262006,Western Avenue Elem School,Geneva,1.10,88.7,,,41.873799,-88.322354
340491090021006,Charles J Caruso Middle School,Deerfield,1.10,84.1,,,42.169082,-87.871121
340490670052004,Everett Elem School,Lake Forest,1.20,92,,,42.216422,-87.873396
