RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
510841860252016,Enos Elem School,Springfield,80.00,37.5,,,39.814321,-89.660933
060162010170002,J Sterling Morton West High Sch,Berwyn,80.10,,30.7,17.3,41.846685,-87.798396
070161630022002,Beacon Hill Primary Cntr,Chicago Heights,80.10,38.4,,,41.497528,-87.66156
480721500250023,Manual Academy,Peoria,80.10,28.9,15.4,15.1,40.680386557,-89.632775099
560990860052022,Woodland Elem School,Joliet,80.10,31.9,,,41.519067,-88.063819
280372290262005,Irving Elem School,Kewanee,80.20,41.2,,,41.242299,-89.932296
500821180022005,Franklin Elem School,Belleville,80.20,47,,,38.517269,-89.987843
56099365U262006,John R Tibbott Elem School,Bolingbrook,80.20,45.3,,,41.703188,-88.04757
041012050251008,Bernard W Flinn Middle School,Rockford,80.30,40.2,,,42.23984,-89.046646
070162150170001,Thornton Fractnl No High School,Calumet City,80.40,,25.1,16.3,41.615464,-87.543662
150162990252804,Metcalfe Community Academy ES,Chicago,80.40,33.2,,,41.669883,-87.634415
320461110252010,Taft Primary School,Kankakee,80.40,51.6,,,41.11009,-87.884123
350501220022005,Northwest Elem School,La Salle,80.40,54.8,,,41.346119,-89.101535
540921180242021,Southwest  Elem School,Danville,80.40,31.7,,,40.094596,-87.668127
020771010260001,Meridian High School,Mounds,80.50,,18.8,15,37.129272804,-89.171361939
060160870022010,Whittier Elementary School,Northlake,80.60,43.4,,,41.912331,-87.891271
560990890022002,Fairmont School,Lockport,80.60,31.2,,,41.56428,-88.062565
041012050252029,Gregory Elem School,Rockford,80.70,57.9,,,42.258527,-89.016497
070161620022008,Sauk Elem School,Richton Park,80.70,50.7,,,41.485799,-87.724133
150162990252503,Washington  G Elem School,Chicago,80.70,69,,,41.688165,-87.536074
330482050262021,Steele School,Galesburg,80.70,44.7,,,40.947683,-90.394119
070161300022019,George Washington Elementary Sch,Alsip,80.80,48.1,,,41.664564,-87.704634
150162990252066,Barnard Comp Math & Sci ES,Chicago,80.80,46,,,41.705772,-87.658269
070161670022003,Longwood Elem School,Glenwood,80.90,44.2,,,41.554286,-87.631239
080891450221002,Freeport Middle School,Freeport,80.90,33.7,,,42.287160771,-89.626538241
250410800022002,J L Buford Intermediate Ed Ctr,Mount Vernon,81.00,44.9,,,38.310972,-88.933221
510841860252031,Pleasant Hill Elem School,Springfield,81.00,34.6,,,39.804445,-89.609371
56099201U262003,Balmoral Elem Sch,Crete,81.00,52.2,,,41.42054,-87.641364
070161435022006,Posen Elem School,Posen,81.10,37.8,,,41.628008,-87.688621
150162990250857,Westinghouse College Prepratory H,Chicago,81.10,,69.9,20.3,41.889959466,-87.708208057
020910840262005,Shawnee Elem School - South,McClure,81.20,40,,,37.29839,-89.448235
310451310222004,Olney C Allen Elem School,Aurora,81.30,31.2,,,41.742453,-88.281359
320461110250014,Kankakee High School,Kankakee,81.30,,26.9,17,41.106121,-87.887664
390550610251030,Thomas Jefferson Middle School,Decatur,81.30,32.3,,,39.834511,-88.884554
150162990252826,Turner-Drew Language Academy ES,Chicago,81.40,67.3,,,41.725657,-87.630014
050160620042009,Orchard Place Elem School,Des Plaines,81.50,51.5,,,42.004124,-87.8795
070161090022006,George T Wilkins Elem School,Justice,81.50,42.9,,,41.745714,-87.823888
150162990252354,Mollison Elem School,Chicago,81.50,37.7,,,41.814526,-87.616407
340490060022007,Beulah Park Elem School,Zion,81.50,41,,,42.460122,-87.84242
340490060022002,East Elementary School,Zion,81.60,48.4,,,42.442329,-87.823922
150162990252478,Talcott Elem School,Chicago,81.70,48.9,,,41.892378,-87.673123
150162990252706,Salazar Bilingual Center Elem Sch,Chicago,81.70,54.9,,,41.901384,-87.633752
060160830021003,Mannheim Middle School,Melrose Park,81.80,43.7,,,41.925513,-87.887018
150162990252429,Ryder Math & Sci Specialty ES,Chicago,81.80,24.6,,,41.735775,-87.638781
350500440022006,Oakland Park Elem School,Streator,81.80,46.2,,,41.112176,-88.830015
150162990252497,Wacker Elem School,Chicago,81.90,46.9,,,41.716743,-87.647987
150162990252409,Portage Park Elem School,Chicago,82.00,56.6,,,41.956919,-87.760493
510841860252037,Wanless Elem School,Springfield,82.00,32.1,,,39.789540115,-89.63532076
15016299025204C,Univ of Chicago Charter Schools,Chicago,82.00,50.6,27.5,,41.785980348,-87.594098551
150162990252120,Carnegie Elem School,Chicago,82.10,48.3,,,41.783394,-87.591
150162990252220,Goethe Elem School,Chicago,82.10,61.2,,,41.922599,-87.692796
330482050262017,King School,Galesburg,82.10,49.3,,,40.934891,-90.345701
150162990250019,Hirsch Metropolitan High School,Chicago,82.20,,3.9,14,41.754788,-87.601639
15016299025231C,Nkrumah Academy Charter School,Chicago,82.30,61.7,,,41.743691976,-87.605525799
410570100262006,Caseyville Elementary School,Caseyville,82.40,48.6,,,38.636294,-90.030831
560990860052002,M J Cunningham Elem Sch,Joliet,82.40,36.4,,,41.541529,-88.094254
560990860052007,Edna Keith Elem School,Joliet,82.40,31.9,,,41.517069,-88.07108
560990860052011,A O Marshall Elem School,Joliet,82.40,44,,,41.530895,-88.04456
070162270170001,Rich East Campus High School,Park Forest,82.50,,27,17.4,41.480745,-87.693709
150162990252107,Burnside Elem Scholastic Academy,Chicago,82.60,46.2,,,41.729531,-87.607499
150162990252426,Rogers Elem School,Chicago,82.60,69.2,,,42.015018,-87.697251
330482050262020,Nielson Elementary School,Galesburg,82.60,44.8,,,40.953793,-90.345206
150162990252413,Pulaski Intl Elem School,Chicago,82.70,63.7,,,41.918432,-87.683298
340491160262004,Round Lake Beach Elem School,Round Lake Beach,82.70,41.7,,,42.374413,-88.085849
070161630022003,Blackhawk Intermediate Center,Park Forest,82.90,43.5,,,41.470902,-87.686517
070161630022008,21st Century Preparatory Center,Park Forest,82.90,49.5,,,41.476915,-87.681306
150162990250832,Devry Advantage Academy HS,Chicago,82.90,,80.7,21,41.941222,-87.691055
280061030222001,DePue Elem School,DePue,82.90,31.1,,,41.323008,-89.306938
070161580022006,Reavis Elem School,Lansing,83.00,54.3,,,41.584321,-87.536989
390550610251034,Stephen Decatur Middle School,Decatur,83.00,31.2,,,39.845852108,-88.953111213
150162990250048,Washington  G High School,Chicago,83.10,,21.9,16.3,41.688134708,-87.539405583
070161510021001,Coolidge Middle School,Phoenix,83.20,38.5,,,41.609122,-87.627344
500821870262002,Oliver Parks Elementary School,Cahokia,83.30,27.1,,,38.556012,-90.114521
46069117022102C,8 Points Charter School,Jacksonville,83.30,25.5,,,39.734298739,-90.219170954
150162990250824,Bowen High School,Chicago,83.40,,7.8,14.1,41.733702,-87.558007
060160830022005,Westdale Elem School,Northlake,83.50,45.8,,,41.928824,-87.906603
150162990252365,Murphy Elem School,Chicago,83.70,55.5,,,41.950143,-87.716637
480721500252036,Harrison Comm Learning Cntr,Peoria,83.70,17.1,,,40.666941545,-89.636112386
060160870022003,Jefferson Elementary School,Bellwood,83.80,37.9,,,41.888427,-87.889492
060160980022003,Jefferson Elem School,Berwyn,83.80,44.8,,,41.857809,-87.800305
070161040021001,Heritage Middle School,Summit,83.90,46.6,,,41.782916,-87.805848
070161570021001,Schrum Memorial School,Calumet City,83.90,40.2,,,41.589992,-87.537627
150162990250021,Hyde Park Academy High School,Chicago,83.90,,11.5,16.1,41.782247,-87.587095
15016299025218C,Namaste Elem Charter School,Chicago,83.90,61.8,,,41.825802,-87.667804
070161620022005,Matteson Elem School,Matteson,84.00,64.6,,,41.503162,-87.703365
150162990250795,Chicago Military Academy HS,Chicago,84.00,,33.8,18.1,41.830675,-87.619279
250410060042001,Grand Prairie Elem School,Centralia,84.00,64.8,,,38.43788,-89.093715
150162990250798,Dyett High School,Chicago,84.10,,6.5,14.8,41.802173,-87.611191
150162990252479,Tanner Elem School,Chicago,84.10,39.8,,,41.761105,-87.606739
